33729,2021-10-03T17:16:34+0000;0444,T7023,Hfaff;0445,T7060,Hfac8;0544,T7156,He1eb;0545,T7241,Hec53;0644,T7274,He957;0645,T7183,Hf19d;0744,T7103,Hedb5;0745,T7065,Hf6ce
33730,2021-10-03T17:16:43+0000;0444,T700a,Hfafa;0445,T704b,Hfa9b;0544,T713c,He16b;0545,T722a,Hec7c;0644,T7257,He91d;0645,T716a,Hf17b;0744,T70ed,Hed9e;0745,T704c,Hf6c6
33731,2021-10-03T17:16:52+0000;0444,T6ff3,Hfaf9;0445,T7032,Hfabb;0544,T7125,He1d0;0545,T7211,Hed28;0644,T7242,He93f;0645,T7157,Hf15a;0744,T70da,Heda5;0745,T7035,Hf68d
33732,2021-10-03T17:17:01+0000;0444,T6fdd,Hfaf8;0445,T701c,Hfaa5;0544,T7112,He1ec;0545,T71f6,Hed2d;0644,T7229,He970;0645,T713d,Hf140;0744,T70c6,Heda0;0745,T7027,Hf692
33733,2021-10-03T17:17:09+0000;0444,T6fc6,Hfaee;0445,T7007,Hfaaa;0544,T70fc,He210;0545,T71de,Hed03;0644,T7212,He977;0645,T7124,Hf125;0744,T70b2,Hed9d;0745,T7011,Hf6a8
33734,2021-10-03T17:17:18+0000;0444,T6fac,Hfac6;0445,T6ff0,Hfa8b;0544,T70e3,He1ac;0545,T71c5,Heca2;0644,T71f8,He993;0645,T7113,Hf119;0744,T709c,Heda1;0745,T6fff,Hf6b8
33735,2021-10-03T17:17:27+0000;0444,T6f99,Hfac8;0445,T6fdc,Hfa6f;0544,T70cd,He19f;0545,T71ae,Hecc4;0644,T71e0,He98b;0645,T70fd,Hf0e7;0744,T708b,Hed95;0745,T6fe9,Hf6b2
33736,2021-10-03T17:17:36+0000;0444,T6f86,Hfae6;0445,T6fc7,Hfaa2;0544,T70bb,He204;0545,T7197,Hed1f;0644,T71c6,He91b;0645,T70e5,Hf0ce;0744,T7075,Hed89;0745,T6fd3,Hf69e
33737,2021-10-03T17:17:44+0000;0444,T6f70,Hfade;0445,T6fb3,Hfaa2;0544,T70a5,He22b;0545,T717b,Hec79;0644,T71b1,He995;0645,T70d1,Hf0cc;0744,T7063,Hed93;0745,T6fc0,Hf673
33738,2021-10-03T17:17:53+0000;0444,T6f59,Hfad3;0445,T6f9a,Hfa5a;0544,T708a,He166;0545,T7164,Hec39;0644,T7199,He9b3;0645,T70b6,Hf0aa;0744,T7052,Hed8a;0745,T6faf,Hf681
