"Europe/Berlin CEST (UTC +02:00)";"H2_54611815_0 - Produkttemperatur - Online data logger 54611815 (FrittenWalzer) (°C)";"H2_54611815_1 - Relative Feuchte - Online data logger 54611815 (FrittenWalzer) (%rF)"
"2021-10-12 12:00:00";32.66;30.08
"2021-10-12 12:02:54";31.3;32.1
"2021-10-12 12:15:00";27.33;38.43
"2021-10-12 12:15:30";27.23;38.61
"2021-10-12 12:18:35";26.6;39.64
"2021-10-12 12:22:57";25.87;40.82
"2021-10-12 12:30:00";25.03;42.19
"2021-10-12 12:32:53";24.77;42.62
"2021-10-12 12:45:00";23.9;44.08
"2021-10-12 12:52:59";23.6;44.51
"2021-10-12 12:55:58";23.52;44.61
